avg_rating_group,variable,value
1.0,Abstract,15
2.0,Abstract,29
3.0,Abstract,124
4.0,Abstract,385
5.0,Abstract,1104
6.0,Abstract,1383
7.0,Abstract,632
8.0,Abstract,117
9.0,Abstract,20
10.0,Abstract,10
1.0,Customizable,4
2.0,Customizable,1
3.0,Customizable,15
4.0,Customizable,45
5.0,Customizable,97
6.0,Customizable,206
7.0,Customizable,174
8.0,Customizable,51
9.0,Customizable,4
10.0,Customizable,0
1.0,Children,23
2.0,Children,79
3.0,Children,276
4.0,Children,751
5.0,Children,1049
6.0,Children,655
7.0,Children,131
8.0,Children,25
9.0,Children,7
10.0,Children,19
1.0,Family,0
2.0,Family,0
3.0,Family,7
4.0,Family,87
5.0,Family,712
6.0,Family,1816
7.0,Family,709
8.0,Family,37
9.0,Family,1
10.0,Family,0
1.0,Party,0
2.0,Party,1
3.0,Party,8
4.0,Party,29
5.0,Party,242
6.0,Party,496
7.0,Party,147
8.0,Party,3
9.0,Party,1
10.0,Party,0
1.0,Strategy,0
2.0,Strategy,0
3.0,Strategy,1
4.0,Strategy,16
5.0,Strategy,195
6.0,Strategy,1331
7.0,Strategy,1591
8.0,Strategy,304
9.0,Strategy,10
10.0,Strategy,2
1.0,Thematic,0
2.0,Thematic,0
3.0,Thematic,3
4.0,Thematic,18
5.0,Thematic,223
6.0,Thematic,693
7.0,Thematic,803
8.0,Thematic,223
9.0,Thematic,8
10.0,Thematic,0
1.0,War,16
2.0,War,21
3.0,War,63
4.0,War,208
5.0,War,1090
6.0,War,2945
7.0,War,3346
8.0,War,1169
9.0,War,169
10.0,War,53
