Card Game,Fantasy,Civilization,Science Fiction,Dice,Wargame,Exploration,Economic,Adventure,Bluffing,Horror,City Building,Medieval,Deduction,Fighting,Miniatures,Ancient,Territory Building,Industry,Animals,Novel-based
2,1,1,1,0,1,0,0,0,2,0,4,3,1,1,1,1,4,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,2,0,3,1,1,0,2,1,1,0,0,0,2,0,0,1
1,1,0,0,0,1,0,1,0,1,0,3,2,0,0,0,2,1,0,2,1
5,3,2,1,1,4,1,6,3,1,1,5,2,0,4,4,1,3,1,1,1
2,3,2,2,0,4,3,5,6,4,2,2,2,3,5,1,2,1,1,0,3
0,2,1,1,1,4,0,5,0,0,0,1,3,1,1,1,1,2,0,0,1
3,2,3,4,1,2,2,9,1,0,1,1,4,0,2,3,3,3,2,2,1
2,1,1,3,2,2,0,3,0,2,1,2,1,1,1,0,1,0,2,1,0
8,11,1,2,2,4,5,11,4,2,2,3,3,2,11,3,2,1,2,1,2
6,6,3,4,3,4,4,11,6,2,1,6,2,2,6,3,1,1,3,1,0
16,16,4,8,3,7,4,5,9,7,2,3,5,4,15,5,1,8,1,3,7
17,10,6,6,4,7,7,12,5,4,1,7,2,3,8,7,5,7,2,3,1
10,8,1,5,4,4,3,14,4,3,4,3,3,3,6,2,1,0,5,1,2
19,13,6,10,9,4,9,16,6,6,6,3,3,5,16,6,5,0,4,2,2
20,17,3,16,7,5,6,18,10,4,8,3,6,6,15,9,2,4,3,3,2
26,15,4,12,5,8,5,11,5,5,6,5,5,11,13,9,6,4,4,6,5
23,24,5,13,8,7,12,18,12,2,2,7,9,8,7,8,4,5,3,7,1
16,21,3,10,12,6,11,13,11,4,6,7,9,6,11,9,8,4,5,7,3
30,25,7,13,10,5,12,15,7,2,3,8,9,2,10,10,3,8,5,7,8
16,13,3,12,6,3,8,12,5,0,1,7,6,3,7,4,4,1,6,7,3
17,18,5,10,5,1,8,11,7,1,6,6,5,3,11,6,8,8,4,8,5
9,13,2,6,3,1,10,9,12,1,3,8,2,3,4,6,3,5,4,7,1
3,1,0,1,0,0,1,2,1,0,0,0,0,0,2,1,0,0,1,1,1
