year,avg_rating,count_game
2000,4.879954090121317,1154
2001,4.795823377265239,1214
2002,4.994948088235294,1360
2003,4.996598198083067,1565
2004,4.993794515050167,1794
2005,4.9224804990925595,2204
2006,5.042305908256881,2180
2007,5.137445294374182,2293
2008,5.235525615446501,2486
2009,5.169765238592825,2871
2010,5.399508036684782,2944
2011,5.314579506849316,3285
2012,5.3896885747392815,3452
2013,5.522704236311239,3817
2014,5.609437400447427,4470
2015,5.8075365556027165,4712
2016,5.764985312992126,5080
2017,6.044497696709586,5592
2018,6.040626968646604,6347
2019,6.153793563286455,6755
2020,5.953717989573151,6138
2021,5.8957428935145355,5813
2022,6.073771434094904,5690
2023,5.958044597315436,4470
